pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
8.77291280e-01,1.55052243e+02,1.45385551e+10,5.81542206e+10,3.63463879e+11,1.45385551e+12,7.60835489e+03,3.04334195e+04,1.90208872e+05,7.60835489e+05,5.87806596e-01,9.70403238e+13,nan
8.97795155e-01,1.56079100e+02,1.12513307e+10,4.50053227e+10,2.81283267e+11,1.12513307e+12,6.51533643e+03,2.60613457e+04,1.62883411e+05,6.51533643e+05,5.18873412e-01,4.83573804e+14,nan
9.18778243e-01,1.57112758e+02,8.72263226e+09,3.48905290e+10,2.18065806e+11,8.72263226e+11,5.58562645e+03,2.23425058e+04,1.39640661e+05,5.58562645e+05,4.55916905e-01,2.98913080e+15,nan
9.40251743e-01,1.58153260e+02,6.77403231e+09,2.70961292e+10,1.69350808e+11,6.77403231e+11,4.79394084e+03,1.91757633e+04,1.19848521e+05,4.79394084e+05,3.98610472e-01,2.61328300e+16,nan
9.62227117e-01,1.59200654e+02,5.26984712e+09,2.10793885e+10,1.31746178e+11,5.26984712e+11,4.11903988e+03,1.64761595e+04,1.02975997e+05,4.11903988e+05,3.46662625e-01,3.67174018e+17,nan
9.84716096e-01,1.60254985e+02,4.10671799e+09,1.64268720e+10,1.02667950e+11,4.10671799e+11,3.54306151e+03,1.41722461e+04,8.85765379e+04,3.54306151e+05,2.99942986e-01,3.25464024e+18,nan
1.00773068e+00,1.61316297e+02,3.20577434e+09,1.28230973e+10,8.01443584e+10,3.20577434e+11,3.05096767e+03,1.22038707e+04,7.62741916e+04,3.05096767e+05,nan,nan,nan
1.03128316e+00,1.62384639e+02,2.50672874e+09,1.00269150e+10,6.26682186e+10,2.50672874e+11,2.63008389e+03,1.05203355e+04,6.57520971e+04,2.63008389e+05,nan,nan,nan
1.05538610e+00,1.63460056e+02,1.96342002e+09,7.85368009e+09,4.90855006e+10,1.96342002e+11,2.26971625e+03,9.07886498e+03,5.67429061e+04,2.26971625e+05,nan,nan,nan
1.08005237e+00,1.64542594e+02,1.54044345e+09,6.16177379e+09,3.85110862e+10,1.54044345e+11,1.96083211e+03,7.84332845e+03,4.90208028e+04,1.96083211e+05,nan,nan,nan
1.10529514e+00,1.65632303e+02,1.21059867e+09,4.84239467e+09,3.02649667e+10,1.21059867e+11,1.69579387e+03,6.78317549e+03,4.23948468e+04,1.69579387e+05,nan,nan,nan
1.13112788e+00,1.66729227e+02,9.52953619e+08,3.81181447e+09,2.38238405e+10,9.52953619e+10,1.46813661e+03,5.87254644e+03,3.67034153e+04,1.46813661e+05,nan,nan,nan
1.15756437e+00,1.67833417e+02,7.51373296e+08,3.00549318e+09,1.87843324e+10,7.51373296e+10,1.27238224e+03,5.08952897e+03,3.18095561e+04,1.27238224e+05,nan,nan,nan
1.18461873e+00,1.68944919e+02,5.93399919e+08,2.37359967e+09,1.48349980e+10,5.93399919e+10,1.10388401e+03,4.41553605e+03,2.75971003e+04,1.10388401e+05,nan,nan,nan
1.21230540e+00,1.70063782e+02,4.69399137e+08,1.87759655e+09,1.17349784e+10,4.69399137e+10,9.58696205e+02,3.83478482e+03,2.39674051e+04,9.58696205e+04,nan,nan,nan
1.24063916e+00,1.71190055e+02,3.71908019e+08,1.48763208e+09,9.29770047e+09,3.71908019e+10,8.33464914e+02,3.33385966e+03,2.08366229e+04,8.33464914e+04,nan,nan,nan
1.26963513e+00,1.72323787e+02,2.95136318e+08,1.18054527e+09,7.37840796e+09,2.95136318e+10,7.25336334e+02,2.90134534e+03,1.81334084e+04,7.25336334e+04,nan,nan,nan
1.29930878e+00,1.73465027e+02,2.34584364e+08,9.38337455e+08,5.86460909e+09,2.34584364e+10,6.31879707e+02,2.52751883e+03,1.57969927e+04,6.31879707e+04,nan,nan,nan
1.32967597e+00,1.74613826e+02,1.86749833e+08,7.46999333e+08,4.66874583e+09,1.86749833e+10,5.51022501e+02,2.20409000e+03,1.37755625e+04,5.51022501e+04,nan,nan,nan
1.36075289e+00,1.75770232e+02,1.48902379e+08,5.95609516e+08,3.72255948e+09,1.48902379e+10,4.80995834e+02,1.92398333e+03,1.20248958e+04,4.80995834e+04,nan,nan,nan
1.39255613e+00,1.76934297e+02,1.18910123e+08,4.75640491e+08,2.97275307e+09,1.18910123e+10,4.20288470e+02,1.68115388e+03,1.05072118e+04,4.20288470e+04,nan,nan,nan
1.42510267e+00,1.78106071e+02,9.51058756e+07,3.80423502e+08,2.37764689e+09,9.51058756e+09,3.67608006e+02,1.47043203e+03,9.19020016e+03,3.67608006e+04,nan,nan,nan
