level,-kappa-0.01_pressure_bar,-kappa-0.01_n2_mean_s-2,-kappa-0.01_n2_std_s-2,-kappa-0.1_pressure_bar,-kappa-0.1_n2_mean_s-2,-kappa-0.1_n2_std_s-2,-kappa-1.0_pressure_bar,-kappa-1.0_n2_mean_s-2,-kappa-1.0_n2_std_s-2
74,3.769805078660937,8.290651519328169e-08,4.383970945782142e-07,3.7719508047499994,7.251985695762716e-07,7.601405421620784e-07,3.776971521278125,2.0133599986703626e-06,8.759822224178186e-07
75,3.5046932347046873,3.6371290301034065e-07,4.076258409198297e-07,3.5070139794343747,8.152361067406784e-07,4.060876518577197e-07,3.5117970909375,1.9214585227430065e-06,1.1510544908566203e-06
76,3.2532121430968743,7.670561367995199e-07,4.1477536049968693e-07,3.255687237879688,1.0825085724916846e-06,2.4181405829673806e-07,3.260284236207813,1.8171211641173008e-06,1.3611534770168118e-06
77,3.0149405182734372,1.1202468530952606e-06,4.740823441587049e-07,3.0175486714406254,1.4128077334553948e-06,2.712641326016415e-07,3.0219894128328133,1.6286900869829377e-06,1.3138148436034574e-06
78,2.789456391879687,1.29516466967532e-06,5.362742078583735e-07,2.792180521125,1.714533382421916e-06,3.805874247551958e-07,2.796470406331251,1.3941471058652291e-06,1.0241282872209615e-06
79,2.576335711372656,1.200635120418448e-06,5.304666830239702e-07,2.579165622803907,1.7479351346215411e-06,4.891356140429882e-07,2.5832904560218752,1.2235769442753389e-06,7.172556675259233e-07
80,2.375152406148438,7.799556424929738e-07,4.28976538414842e-07,2.378081771104688,1.208994431292174e-06,4.4355970970804494e-07,2.3820237820398433,1.0081262628976088e-06,4.944826801786289e-07
81,2.1854789315617187,2.1180455093899756e-07,2.9701302620331803e-07,2.1884958892703126,4.0290886147742795e-07,3.300226635225621e-07,2.192250220378906,6.477663203257331e-07,3.611633333622636e-07
82,2.0068913186382806,-1.903898945895146e-07,2.5923645382970173e-07,2.009976469673437,-1.414720697213542e-07,2.5211416736297276e-07,2.013550867938281,3.17862113197138e-07,3.33239547304749e-07
83,1.8389779308585938,-3.5360450922762516e-07,2.7383254306294267e-07,1.8421095003226562,-3.636898291852256e-07,2.1346730335709432e-07,1.8455156043164065,1.496052844316577e-07,3.383523226913286e-07
84,1.6813413788523437,-3.833929343885635e-07,2.942629726773342e-07,1.684497955274219,-4.24527835820551e-07,1.9867463189582857e-07,1.6877470735148439,1.1339663661044861e-07,3.506073515320248e-07
85,1.5335941391726566,-3.395555764508396e-07,3.1149863207950687e-07,1.536755299942969,-4.1529126127726626e-07,1.9409375379176492e-07,1.5398578156679688,1.5730511364295217e-07,3.678192739343631e-07
86,1.3953558577304688,-2.68322912711732e-07,3.268518638941204e-07,1.3985020944999997,-3.8576341137567486e-07,1.9039742462243484e-07,1.401467655724219,2.3099235116198294e-07,3.9235489040708736e-07
87,1.2662515783203123,-1.9860436841064873e-07,3.5426550068552043e-07,1.2693642767644528,-3.5209608488415636e-07,1.8840239223692543e-07,1.2722019105902342,3.024325268947721e-07,4.223155888555913e-07
88,1.1459109694007812,-1.2624197373073824e-07,3.9895314605151637e-07,1.1489726534207028,-3.0464480086687655e-07,1.9469956509854776e-07,1.1516906348558593,3.7221948739463225e-07,4.520727433161482e-07
89,1.0339686764972655,-3.947708532676222e-08,4.510876930295164e-07,1.0369632691503905,-2.3674872546064863e-07,2.0223749856328315e-07,1.0395688605523437,4.357537092853567e-07,4.850958114949647e-07
90,0.9300644389921874,4.3063259650061616e-08,5.505740510813942e-07,0.9329774441726563,-1.988501728392042e-07,2.3760939881378355e-07,0.9354765835902342,4.965761350742148e-07,5.512196819024645e-07
91,0.8338428776558592,1.4895823213868788e-07,6.707940722615611e-07,0.836661017507422,-1.2195941374060858e-07,2.86359672163817e-07,0.8390588233683594,5.553459981640517e-07,6.692629455013258e-07
92,0.7449541233558595,1.3887845226379373e-07,8.706169336014733e-07,0.7476654383601563,-1.7153034724712376e-07,4.3211578786492387e-07,0.7499658049179686,5.539811388446138e-07,9.1354420029703e-07
93,0.6630541286816406,-2.4894071140543588e-08,1.0090648390495991e-06,0.6656465805070312,-3.9537531041748964e-07,6.804720608303918e-07,0.6678538770843752,3.560298716980682e-07,1.1276647229710296e-06
94,0.5878065956892579,-5.281989245175108e-07,1.022912890470846e-06,0.5902694283529297,-9.735307901598736e-07,7.011581005877692e-07,0.5923864237169921,-3.788157446200528e-07,1.2258073780825303e-06
95,0.5188734116261718,-9.627481732001031e-07,1.2294178959394322e-06,0.5211988904818359,-1.564823592271221e-06,9.061276131150235e-07,0.5232228065978517,-9.57058844147029e-07,1.5628114271716433e-06
96,0.45591690526894524,-9.316103711136353e-07,1.4903117906396415e-06,0.45809890410722665,-1.656701566624274e-06,1.1367220278992864e-06,0.4600258044570312,-9.23840033489182e-07,1.8403541930576045e-06
97,0.39861047170722663,2.9794205235706624e-06,2.3332242816581538e-06,0.40064390932265626,2.5775068080515335e-06,1.7431761358024649e-06,0.4024726359181642,4.16801279168417e-06,3.2906036835526553e-06
98,0.34666262460449215,3.440056149030677e-05,5.0886658051878825e-06,0.34854650329511716,3.338066859215809e-05,4.413755562908037e-06,0.35028283635253904,4.217445123461553e-05,6.0836347943700995e-06
99,0.29994298614326187,8.876489304227874e-05,9.737537846032007e-06,0.30167468233837885,8.585233490537628e-05,9.439533635381911e-06,0.3033674467383789,0.00010702232837415724,9.823008528258819e-06
